Price,Pack Type
177.0,Premium
208.0,Premium
176.0,Premium
201.0,Premium
233.0,Premium
254.0,Premium
194.0,Premium
1030.0,Premium
249.0,Premium
224.0,Premium
189.0,Premium
238.0,Premium
213.0,Premium
170.0,Premium
229.0,Premium
242.0,Premium
309.0,Premium
229.0,Premium
264.0,Premium
211.0,Premium
167.0,Premium
278.0,Premium
216.0,Premium
238.0,Premium
142.0,Premium
172.0,Premium
321.0,Premium
236.0,Premium
222.0,Premium
172.0,Premium
222.0,Premium
146.0,Premium
181.0,Premium
213.0,Premium
223.0,Premium
175.0,Premium
258.0,Premium
977.0,Premium
258.0,Premium
159.0,Premium
228.0,Premium
236.0,Premium
174.0,Premium
196.0,Premium
207.0,Premium
200.0,Premium
240.0,Premium
241.0,Premium
252.0,Premium
206.0,Premium
251.0,Premium
159.0,Premium
216.0,Premium
218.0,Premium
227.0,Premium
168.0,Premium
199.0,Premium
250.0,Premium
252.0,Premium
208.0,Premium
262.0,Premium
191.0,Premium
204.0,Premium
3782.0,Premium
258.0,Premium
217.0,Premium
222.0,Premium
229.0,Premium
211.0,Premium
167.0,Premium
203.0,Premium
204.0,Premium
158.0,Premium
225.0,Premium
164.0,Premium
239.0,Premium
202.0,Premium
146.0,Premium
174.0,Premium
239.0,Premium
176.0,Premium
172.0,Premium
159.0,Premium
167.0,Premium
186.0,Premium
224.0,Premium
168.0,Premium
202.0,Premium
217.0,Premium
196.0,Premium
160.0,Premium
148.0,Premium
247.0,Premium
156.0,Premium
175.0,Premium
190.0,Premium
237.0,Premium
201.0,Premium
188.0,Premium
240.0,Premium
238.0,Premium
202.0,Premium
221.0,Premium
170.0,Premium
245.0,Premium
161.0,Premium
1105.0,Premium
298.0,Premium
208.0,Premium
3122.0,Premium
189.0,Premium
163.0,Premium
932.0,Premium
204.0,Premium
215.0,Premium
234.0,Premium
200.0,Premium
203.0,Premium
208.0,Premium
180.0,Premium
308.0,Premium
214.0,Premium
207.0,Premium
203.0,Premium
209.0,Premium
188.0,Premium
203.0,Premium
3322.0,Premium
182.0,Premium
213.0,Premium
223.0,Premium
1113.0,Premium
179.0,Premium
164.0,Premium
183.0,Premium
237.0,Premium
323.0,Premium
191.0,Premium
1074.0,Premium
184.0,Premium
222.0,Premium
249.0,Premium
199.0,Premium
130.0,Premium
215.0,Premium
227.0,Premium
236.0,Premium
202.0,Premium
154.0,Premium
212.0,Premium
169.0,Premium
224.0,Premium
261.0,Premium
275.0,Premium
273.0,Premium
179.0,Premium
206.0,Premium
198.0,Premium
224.0,Premium
246.0,Premium
155.0,Premium
212.0,Premium
149.0,Premium
182.0,Premium
209.0,Premium
153.0,Premium
193.0,Premium
168.0,Premium
220.0,Premium
254.0,Premium
237.0,Premium
225.0,Premium
215.0,Premium
215.0,Premium
189.0,Premium
222.0,Premium
245.0,Premium
227.0,Premium
193.0,Premium
144.0,Premium
252.0,Premium
227.0,Premium
145.0,Premium
981.0,Premium
217.0,Premium
180.0,Premium
216.0,Premium
245.0,Premium
205.0,Premium
222.0,Premium
182.0,Premium
216.0,Premium
224.0,Premium
146.0,Premium
801.0,Premium
255.0,Premium
200.0,Premium
3122.0,Premium
235.0,Premium
184.0,Premium
218.0,Premium
226.0,Premium
216.0,Premium
187.0,Premium
197.0,Premium
182.0,Premium
248.0,Premium
274.0,Premium
207.0,Premium
197.0,Premium
229.0,Premium
210.0,Premium
164.0,Premium
1062.0,Premium
212.0,Premium
225.0,Premium
214.0,Premium
197.0,Premium
212.0,Premium
196.0,Premium
231.0,Premium
1020.0,Premium
219.0,Premium
204.0,Premium
151.0,Premium
225.0,Premium
169.0,Premium
153.0,Premium
203.0,Premium
226.0,Premium
149.0,Premium
199.0,Premium
255.0,Premium
315.0,Premium
3952.0,Premium
218.0,Premium
185.0,Premium
301.0,Premium
174.0,Premium
985.0,Premium
227.0,Premium
153.0,Premium
779.0,Premium
173.0,Premium
243.0,Premium
245.0,Premium
193.0,Premium
211.0,Premium
206.0,Premium
205.0,Premium
231.0,Premium
182.0,Premium
1376.0,Premium
189.0,Premium
187.0,Premium
86.0,Standard
48.0,Standard
46.0,Standard
69.0,Standard
53.0,Standard
54.0,Standard
57.0,Standard
73.0,Standard
54.0,Standard
46.0,Standard
44.0,Standard
54.0,Standard
49.0,Standard
42.0,Standard
45.0,Standard
89.0,Standard
139.0,Standard
111.0,Standard
72.0,Standard
115.0,Standard
51.0,Standard
123.0,Standard
56.0,Standard
43.0,Standard
44.0,Standard
119.0,Standard
157.0,Standard
69.0,Standard
89.0,Standard
148.0,Standard
58.0,Standard
55.0,Standard
53.0,Standard
47.0,Standard
51.0,Standard
44.0,Standard
51.0,Standard
63.0,Standard
149.0,Standard
74.0,Standard
51.0,Standard
57.0,Standard
44.0,Standard
136.0,Standard
67.0,Standard
68.0,Standard
56.0,Standard
36.0,Standard
36.0,Standard
75.0,Standard
50.0,Standard
52.0,Standard
63.0,Standard
40.0,Standard
46.0,Standard
60.0,Standard
144.0,Standard
69.0,Standard
80.0,Standard
80.0,Standard
52.0,Standard
80.0,Standard
59.0,Standard
58.0,Standard
102.0,Standard
69.0,Standard
51.0,Standard
75.0,Standard
37.0,Standard
60.0,Standard
63.0,Standard
42.0,Standard
57.0,Standard
32.0,Standard
48.0,Standard
97.0,Standard
117.0,Standard
110.0,Standard
55.0,Standard
53.0,Standard
78.0,Standard
67.0,Standard
51.0,Standard
35.0,Standard
41.0,Standard
63.0,Standard
101.0,Standard
57.0,Standard
58.0,Standard
52.0,Standard
50.0,Standard
82.0,Standard
124.0,Standard
94.0,Standard
94.0,Standard
58.0,Standard
77.0,Standard
59.0,Standard
56.0,Standard
61.0,Standard
47.0,Standard
38.0,Standard
126.0,Standard
61.0,Standard
139.0,Standard
68.0,Standard
62.0,Standard
49.0,Standard
51.0,Standard
654.0,Standard
45.0,Standard
59.0,Standard
107.0,Standard
115.0,Standard
84.0,Standard
48.0,Standard
54.0,Standard
132.0,Standard
55.0,Standard
57.0,Standard
66.0,Standard
57.0,Standard
61.0,Standard
56.0,Standard
77.0,Standard
42.0,Standard
55.0,Standard
55.0,Standard
55.0,Standard
48.0,Standard
51.0,Standard
70.0,Standard
53.0,Standard
39.0,Standard
70.0,Standard
126.0,Standard
40.0,Standard
51.0,Standard
55.0,Standard
71.0,Standard
43.0,Standard
61.0,Standard
45.0,Standard
42.0,Standard
67.0,Standard
94.0,Standard
36.0,Standard
70.0,Standard
50.0,Standard
58.0,Standard
58.0,Standard
54.0,Standard
68.0,Standard
58.0,Standard
41.0,Standard
69.0,Standard
63.0,Standard
45.0,Standard
65.0,Standard
43.0,Standard
63.0,Standard
86.0,Standard
55.0,Standard
107.0,Standard
64.0,Standard
52.0,Standard
118.0,Standard
78.0,Standard
105.0,Standard
48.0,Standard
45.0,Standard
44.0,Standard
76.0,Standard
84.0,Standard
46.0,Standard
73.0,Standard
56.0,Standard
59.0,Standard
59.0,Standard
73.0,Standard
76.0,Standard
58.0,Standard
34.0,Standard
57.0,Standard
48.0,Standard
63.0,Standard
59.0,Standard
56.0,Standard
51.0,Standard
121.0,Standard
155.0,Standard
95.0,Standard
60.0,Standard
72.0,Standard
83.0,Standard
78.0,Standard
68.0,Standard
50.0,Standard
90.0,Standard
61.0,Standard
43.0,Standard
131.0,Standard
40.0,Standard
48.0,Standard
113.0,Standard
52.0,Standard
67.0,Standard
73.0,Standard
41.0,Standard
71.0,Standard
58.0,Standard
153.0,Standard
62.0,Standard
78.0,Standard
49.0,Standard
91.0,Standard
78.0,Standard
63.0,Standard
94.0,Standard
82.0,Standard
87.0,Standard
83.0,Standard
111.0,Standard
82.0,Standard
55.0,Standard
59.0,Standard
51.0,Standard
106.0,Standard
56.0,Standard
131.0,Standard
78.0,Standard
49.0,Standard
115.0,Standard
46.0,Standard
63.0,Standard
37.0,Standard
45.0,Standard
78.0,Standard
45.0,Standard
54.0,Standard
43.0,Standard
60.0,Standard
57.0,Standard
42.0,Standard
40.0,Standard
64.0,Standard
60.0,Standard
55.0,Standard
49.0,Standard
104.0,Standard
103.0,Standard
55.0,Standard
68.0,Standard
93.0,Standard
43.0,Standard
56.0,Standard
41.0,Standard
60.0,Standard
62.0,Standard
94.0,Standard
105.0,Standard
81.0,Standard
56.0,Standard
78.0,Standard
42.0,Standard
51.0,Standard
65.0,Standard
59.0,Standard
70.0,Standard
52.0,Standard
58.0,Standard
56.0,Standard
85.0,Standard
47.0,Standard
80.0,Standard
61.0,Standard
63.0,Standard
61.0,Standard
49.0,Standard
57.0,Standard
57.0,Standard
65.0,Standard
48.0,Standard
65.0,Standard
50.0,Standard
87.0,Standard
80.0,Standard
54.0,Standard
86.0,Standard
70.0,Standard
44.0,Standard
55.0,Standard
48.0,Standard
40.0,Standard
174.0,Standard
50.0,Standard
71.0,Standard
57.0,Standard
47.0,Standard
55.0,Standard
59.0,Standard
44.0,Standard
58.0,Standard
47.0,Standard
106.0,Standard
63.0,Standard
48.0,Standard
68.0,Standard
63.0,Standard
93.0,Standard
58.0,Standard
42.0,Standard
58.0,Standard
45.0,Standard
45.0,Standard
55.0,Standard
66.0,Standard
43.0,Standard
45.0,Standard
77.0,Standard
43.0,Standard
51.0,Standard
60.0,Standard
58.0,Standard
52.0,Standard
42.0,Standard
50.0,Standard
67.0,Standard
157.0,Standard
54.0,Standard
63.0,Standard
39.0,Standard
102.0,Standard
70.0,Standard
41.0,Standard
37.0,Standard
67.0,Standard
118.0,Standard
77.0,Standard
70.0,Standard
49.0,Standard
62.0,Standard
52.0,Standard
134.0,Standard
68.0,Standard
54.0,Standard
45.0,Standard
90.0,Standard
87.0,Standard
49.0,Standard
50.0,Standard
46.0,Standard
40.0,Standard
49.0,Standard
39.0,Standard
86.0,Standard
93.0,Standard
58.0,Standard
104.0,Standard
44.0,Standard
44.0,Standard
58.0,Standard
58.0,Standard
96.0,Standard
60.0,Standard
69.0,Standard
856.0,Standard
103.0,Standard
61.0,Standard
56.0,Standard
67.0,Standard
51.0,Standard
793.0,Standard
49.0,Standard
44.0,Standard
92.0,Standard
54.0,Standard
51.0,Standard
75.0,Standard
61.0,Standard
97.0,Standard
35.0,Standard
55.0,Standard
52.0,Standard
56.0,Standard
63.0,Standard
47.0,Standard
105.0,Standard
101.0,Standard
100.0,Standard
36.0,Standard
123.0,Standard
76.0,Standard
84.0,Standard
69.0,Standard
54.0,Standard
50.0,Standard
92.0,Standard
68.0,Standard
106.0,Standard
61.0,Standard
98.0,Standard
51.0,Standard
79.0,Standard
46.0,Standard
67.0,Standard
58.0,Standard
51.0,Standard
58.0,Standard
57.0,Standard
107.0,Standard
51.0,Standard
89.0,Standard
50.0,Standard
48.0,Standard
108.0,Standard
36.0,Standard
68.0,Standard
53.0,Standard
81.0,Standard
51.0,Standard
81.0,Standard
82.0,Standard
40.0,Standard
44.0,Standard
48.0,Standard
63.0,Standard
53.0,Standard
66.0,Standard
99.0,Standard
51.0,Standard
97.0,Standard
57.0,Standard
69.0,Standard
44.0,Standard
81.0,Standard
58.0,Standard
53.0,Standard
78.0,Standard
71.0,Standard
61.0,Standard
65.0,Standard
64.0,Standard
49.0,Standard
47.0,Standard
78.0,Standard
65.0,Standard
64.0,Standard
61.0,Standard
63.0,Standard
69.0,Standard
46.0,Standard
113.0,Standard
56.0,Standard
44.0,Standard
115.0,Standard
57.0,Standard
47.0,Standard
45.0,Standard
51.0,Standard
49.0,Standard
60.0,Standard
82.0,Standard
48.0,Standard
63.0,Standard
99.0,Standard
44.0,Standard
40.0,Standard
46.0,Standard
54.0,Standard
103.0,Standard
49.0,Standard
65.0,Standard
77.0,Standard
86.0,Standard
45.0,Standard
66.0,Standard
88.0,Standard
86.0,Standard
45.0,Standard
114.0,Standard
66.0,Standard
62.0,Standard
38.0,Standard
46.0,Standard
56.0,Standard
53.0,Standard
50.0,Standard
40.0,Standard
62.0,Standard
46.0,Standard
49.0,Standard
70.0,Standard
51.0,Standard
72.0,Standard
59.0,Standard
47.0,Standard
49.0,Standard
52.0,Standard
71.0,Standard
48.0,Standard
46.0,Standard
53.0,Standard
61.0,Standard
39.0,Standard
43.0,Standard
102.0,Standard
63.0,Standard
38.0,Standard
70.0,Standard
58.0,Standard
49.0,Standard
41.0,Standard
54.0,Standard
58.0,Standard
118.0,Standard
55.0,Standard
53.0,Standard
83.0,Standard
61.0,Standard
79.0,Standard
108.0,Standard
69.0,Standard
94.0,Standard
59.0,Standard
76.0,Standard
55.0,Standard
59.0,Standard
73.0,Standard
63.0,Standard
54.0,Standard
75.0,Standard
41.0,Standard
55.0,Standard
70.0,Standard
40.0,Standard
57.0,Standard
35.0,Standard
148.0,Standard
65.0,Standard
57.0,Standard
97.0,Standard
75.0,Standard
57.0,Standard
50.0,Standard
96.0,Standard
67.0,Standard
49.0,Standard
58.0,Standard
66.0,Standard
59.0,Standard
54.0,Standard
49.0,Standard
152.0,Standard
74.0,Standard
65.0,Standard
36.0,Standard
47.0,Standard
42.0,Standard
61.0,Standard
60.0,Standard
97.0,Standard
41.0,Standard
59.0,Standard
61.0,Standard
55.0,Standard
70.0,Standard
75.0,Standard
64.0,Standard
57.0,Standard
69.0,Standard
56.0,Standard
59.0,Standard
134.0,Standard
66.0,Standard
42.0,Standard
60.0,Standard
115.0,Standard
67.0,Standard
68.0,Standard
67.0,Standard
99.0,Standard
67.0,Standard
184.0,Standard
41.0,Standard
54.0,Standard
55.0,Standard
41.0,Standard
42.0,Standard
69.0,Standard
62.0,Standard
100.0,Standard
45.0,Standard
53.0,Standard
120.0,Standard
49.0,Standard
41.0,Standard
53.0,Standard
52.0,Standard
105.0,Standard
61.0,Standard
63.0,Standard
55.0,Standard
95.0,Standard
93.0,Standard
48.0,Standard
90.0,Standard
78.0,Standard
59.0,Standard
42.0,Standard
109.0,Standard
42.0,Standard
77.0,Standard
39.0,Standard
52.0,Standard
67.0,Standard
57.0,Standard
98.0,Standard
45.0,Standard
42.0,Standard
50.0,Standard
53.0,Standard
110.0,Standard
59.0,Standard
47.0,Standard
72.0,Standard
57.0,Standard
78.0,Standard
37.0,Standard
43.0,Standard
68.0,Standard
68.0,Standard
59.0,Standard
54.0,Standard
49.0,Standard
1018.0,Standard
149.0,Standard
46.0,Standard
66.0,Standard
44.0,Standard
104.0,Standard
46.0,Standard
67.0,Standard
61.0,Standard
674.0,Standard
42.0,Standard
87.0,Standard
77.0,Standard
64.0,Standard
47.0,Standard
66.0,Standard
96.0,Standard
48.0,Standard
34.0,Standard
67.0,Standard
66.0,Standard
120.0,Standard
70.0,Standard
50.0,Standard
84.0,Standard
77.0,Standard
63.0,Standard
58.0,Standard
59.0,Standard
66.0,Standard
47.0,Standard
62.0,Standard
77.0,Standard
54.0,Standard
61.0,Standard
55.0,Standard
64.0,Standard
117.0,Standard
78.0,Standard
57.0,Standard
67.0,Standard
51.0,Standard
58.0,Standard
118.0,Standard
78.0,Standard
93.0,Standard
67.0,Standard
52.0,Standard
45.0,Standard
39.0,Standard
71.0,Standard
53.0,Standard
99.0,Standard
61.0,Standard
57.0,Standard
59.0,Standard
105.0,Standard
126.0,Standard
85.0,Standard
60.0,Standard
139.0,Standard
69.0,Standard
42.0,Standard
45.0,Standard
54.0,Standard
55.0,Standard
69.0,Standard
102.0,Standard
186.0,Standard
52.0,Standard
39.0,Standard
137.0,Standard
53.0,Standard
115.0,Standard
90.0,Standard
63.0,Standard
49.0,Standard
49.0,Standard
71.0,Standard
97.0,Standard
36.0,Standard
35.0,Standard
98.0,Standard
45.0,Standard
44.0,Standard
58.0,Standard
52.0,Standard
75.0,Standard
52.0,Standard
88.0,Standard
37.0,Standard
60.0,Standard
49.0,Standard
46.0,Standard
48.0,Standard
40.0,Standard
139.0,Standard
50.0,Standard
58.0,Standard
78.0,Standard
100.0,Standard
54.0,Standard
141.0,Standard
58.0,Standard
